date,median_e10_price,median_e5_price,median_diesel_price
2014-06-08,1.529,1.569,1.359
2014-06-09,1.569,1.609,1.399
2014-06-10,1.549,1.589,1.379
2014-06-11,1.549,1.589,1.379
2014-06-12,1.559,1.599,1.379
2014-06-13,1.569,1.609,1.389
2014-06-14,1.569,1.609,1.399
2014-06-15,1.579,1.619,1.409
2014-06-16,1.579,1.619,1.399
2014-06-17,1.579,1.619,1.399
2014-06-18,1.569,1.609,1.399
2014-06-19,1.579,1.619,1.409
2014-06-20,1.579,1.619,1.399
2014-06-21,1.579,1.619,1.409
2014-06-22,1.589,1.629,1.409
2014-06-23,1.579,1.619,1.409
2014-06-24,1.579,1.619,1.399
2014-06-25,1.579,1.619,1.399
2014-06-26,1.579,1.619,1.399
2014-06-27,1.579,1.619,1.399
2014-06-28,1.579,1.619,1.399
2014-06-29,1.589,1.629,1.409
2014-06-30,1.579,1.619,1.399
2014-07-01,1.579,1.619,1.399
2014-07-02,1.579,1.619,1.389
2014-07-03,1.569,1.609,1.389
2014-07-04,1.569,1.609,1.389
2014-07-05,1.579,1.619,1.389
2014-07-06,1.579,1.619,1.399
2014-07-07,1.569,1.609,1.389
2014-07-08,1.569,1.609,1.379
2014-07-09,1.569,1.609,1.379
2014-07-10,1.569,1.609,1.379
2014-07-11,1.569,1.609,1.379
2014-07-12,1.569,1.609,1.369
2014-07-13,1.569,1.609,1.379
2014-07-14,1.569,1.609,1.369
2014-07-15,1.559,1.599,1.369
2014-07-16,1.559,1.599,1.369
2014-07-17,1.559,1.599,1.369
2014-07-18,1.559,1.599,1.379
2014-07-19,1.549,1.589,1.379
2014-07-20,1.559,1.599,1.379
2014-07-21,1.549,1.589,1.359
2014-07-22,1.549,1.589,1.369
2014-07-23,1.539,1.579,1.369
2014-07-24,1.549,1.589,1.389
2014-07-25,1.549,1.589,1.379
2014-07-26,1.549,1.589,1.389
2014-07-27,1.559,1.599,1.389
2014-07-28,1.549,1.589,1.389
2014-07-29,1.549,1.589,1.379
2014-07-30,1.549,1.589,1.379
2014-07-31,1.549,1.589,1.389
2014-08-01,1.549,1.589,1.379
2014-08-02,1.549,1.589,1.389
2014-08-03,1.549,1.589,1.389
2014-08-04,1.539,1.579,1.379
2014-08-05,1.539,1.579,1.379
2014-08-06,1.539,1.579,1.389
2014-08-07,1.539,1.579,1.379
2014-08-08,1.529,1.569,1.379
2014-08-09,1.529,1.569,1.379
2014-08-10,1.539,1.579,1.389
2014-08-11,1.539,1.579,1.389
2014-08-12,1.529,1.569,1.379
2014-08-13,1.529,1.569,1.379
2014-08-14,1.529,1.569,1.369
2014-08-15,1.529,1.569,1.369
2014-08-16,1.529,1.569,1.379
2014-08-17,1.539,1.579,1.389
2014-08-18,1.529,1.569,1.379
2014-08-19,1.519,1.559,1.369
2014-08-20,1.519,1.559,1.369
2014-08-21,1.529,1.569,1.369
2014-08-22,1.529,1.569,1.379
2014-08-23,1.539,1.579,1.379
2014-08-24,1.549,1.589,1.389
2014-08-25,1.529,1.569,1.369
